;Cheval;Age;Sexe;Race;Courses;Victoires;Places;Allocation tot.;Prime Prop.;Alloc. + Prime Prop.;Gain moyen;Valeur;spec
190;NOVOLINO                 ;5;H;PUR SANG;2;1;1;27230,00;0,00;27230,00;13615,00;;haie
191;HYPNOTIK                 ;4;H;CHEVAL AUTRE QUE PUR SANG;3;1;1;27080,00;0,00;27080,00;9026,67;600.0;haie
192;FAN DE CHABA             ;6;H;CHEVAL AUTRE QUE PUR SANG;6;2;3;26975,00;0,00;26975,00;4495,83;580.0;haie
193;BEST BOWL                ;5;H;PUR SANG;6;0;6;26900,00;0,00;26900,00;4483,33;570.0;haie
194;MORGENSTERN              ;4;H;PUR SANG;6;1;5;26820,00;0,00;26820,00;4470,00;560.0;haie
195;DINOZAURE                ;4;H;PUR SANG;5;1;3;26805,00;0,00;26805,00;5361,00;575.0;haie
196;TERRE ETOILEE            ;4;F;PUR SANG;5;0;4;26675,00;0,00;26675,00;5335,00;530.0;haie
197;HIREINE DE LAGARDE AA    ;4;F;ANGLO-ARABE;6;2;4;26540,00;0,00;26540,00;4423,33;;haie
198;BLEKOVA                  ;5;F;PUR SANG;4;1;1;26415,00;0,00;26415,00;6603,75;570.0;haie
199;LE BERRY                 ;5;H;PUR SANG;1;1;0;26400,00;0,00;26400,00;26400,00;800.0;haie
200;LORADAME                 ;5;F;PUR SANG;2;0;2;26400,00;0,00;26400,00;13200,00;710.0;haie
201;TROU NORMAND             ;4;H;PUR SANG;4;2;1;26310,00;0,00;26310,00;6577,50;610.0;haie
202;OH MARIE                 ;3;F;PUR SANG;5;2;2;26295,00;0,00;26295,00;5259,00;580.0;haie
203;NORMANDE                 ;4;F;PUR SANG;9;3;2;26225,00;0,00;26225,00;2913,89;575.0;haie
204;BUEN STAR                ;8;H;PUR SANG;9;3;4;26140,00;0,00;26140,00;2904,44;525.0;haie
205;LORD CHART               ;4;H;PUR SANG;2;0;2;26130,00;0,00;26130,00;13065,00;635.0;haie
206;GREY FALCON              ;4;H;PUR SANG;4;1;1;26100,00;0,00;26100,00;6525,00;575.0;haie
207;VERNON SUBUTEX           ;4;H;PUR SANG;4;2;1;26020,00;0,00;26020,00;6505,00;570.0;haie
208;GENERAL EN CHEF          ;5;H;CHEVAL AUTRE QUE PUR SANG;2;1;1;25875,00;0,00;25875,00;12937,50;770.0;haie
209;LAWRENCE D'ARABIE        ;4;H;PUR SANG;2;2;0;25760,00;0,00;25760,00;12880,00;;haie
210;YOU'RE THE BOSS          ;3;H;PUR SANG;2;0;2;25690,00;0,00;25690,00;12845,00;;haie
211;SAINTAMARIN              ;3;F;PUR SANG;3;0;3;25600,00;0,00;25600,00;8533,33;655.0;haie
212;RHELIGHONNE              ;3;F;PUR SANG;4;1;2;25595,00;0,00;25595,00;6398,75;620.0;haie
213;LA BONDUE                ;5;F;PUR SANG;4;2;1;25530,00;0,00;25530,00;6382,50;610.0;haie
214;MACHO BORIS              ;6;H;PUR SANG;5;0;5;25480,00;0,00;25480,00;5096,00;505.0;haie
215;LADY MARTALINE           ;3;F;PUR SANG;4;0;3;25380,00;0,00;25380,00;6345,00;635.0;haie
216;LUCKY DREAM              ;4;H;PUR SANG;2;1;1;25300,00;0,00;25300,00;12650,00;;haie
217;RELIABLE SON             ;5;H;PUR SANG;4;0;3;25260,00;0,00;25260,00;6315,00;590.0;haie
218;PRIMCO                   ;3;H;PUR SANG;6;1;3;25215,00;0,00;25215,00;4202,50;590.0;haie
219;PASCASHA D'OR            ;7;H;PUR SANG;2;1;0;25200,00;0,00;25200,00;12600,00;600.0;haie
220;SORAL DE KERZEL          ;7;H;PUR SANG;7;0;7;25200,00;0,00;25200,00;3600,00;525.0;haie
221;SIX ONE                  ;4;H;PUR SANG;4;0;2;25150,00;0,00;25150,00;6287,50;585.0;haie
222;ROBERTA HAS              ;4;F;PUR SANG;2;1;1;25070,00;0,00;25070,00;12535,00;640.0;haie
223;FAUTINETTE               ;3;F;PUR SANG;3;3;0;24960,00;0,00;24960,00;8320,00;670.0;haie
224;THE GREY LADY            ;3;F;PUR SANG;1;1;0;24960,00;0,00;24960,00;24960,00;;haie
225;PORTICELLO               ;3;H;PUR SANG;1;1;0;24960,00;0,00;24960,00;24960,00;;haie
226;AVEL DE KERBARH          ;5;H;PUR SANG;2;1;1;24940,00;0,00;24940,00;12470,00;575.0;haie
227;DALYOTIN                 ;5;H;PUR SANG;5;0;4;24920,00;0,00;24920,00;4984,00;580.0;haie
228;SAINT LANGIS             ;3;H;PUR SANG;1;1;0;24840,00;0,00;24840,00;24840,00;;haie
229;VAE PATRON               ;3;H;PUR SANG;1;1;0;24840,00;0,00;24840,00;24840,00;340.0;haie
230;ONE MORE LIGHT           ;3;F;PUR SANG;1;1;0;24840,00;0,00;24840,00;24840,00;335.0;haie
231;GRACE DE DIEU            ;5;F;CHEVAL AUTRE QUE PUR SANG;1;1;0;24300,00;0,00;24300,00;24300,00;590.0;haie
232;SANTO DOMINGO            ;4;H;PUR SANG;4;1;3;24300,00;0,00;24300,00;6075,00;610.0;haie
233;PAINT PRINCE             ;3;H;PUR SANG;4;1;1;24260,00;0,00;24260,00;6065,00;610.0;haie
234;PRINCESS LEA             ;4;F;PUR SANG;4;2;2;24080,00;0,00;24080,00;6020,00;605.0;haie
