;Cheval;Age;Sexe;Race;Courses;Victoires;Places;Allocation tot.;Prime Prop.;Alloc. + Prime Prop.;Gain moyen;Valeur;spec
4857;COPING STONE             ;7;F;PUR SANG;5;2;2;7780,00;0,00;7780,00;1556,00;555.0;plat
4858;TITO                     ;4;H;PUR SANG;7;1;3;7775,00;0,00;7775,00;1110,71;280.0;plat
4859;FRENCH CONTE             ;4;H;PUR SANG;4;0;2;7770,00;3146,00;10916,00;1942,50;425.0;plat
4860;LA RACEUSE               ;9;F;PUR SANG;14;1;1;7750,00;2440,00;10190,00;553,57;195.0;plat
4861;MOULT                    ;5;H;PUR SANG;9;1;3;7750,00;3138,00;10888,00;861,11;200.0;plat
4862;DIAM SPIRIT              ;4;F;PUR SANG;10;0;4;7750,00;3137,00;10887,00;775,00;210.0;plat
4863;HEART BRAKER             ;4;H;PUR SANG;9;0;5;7750,00;2752,00;10502,00;861,11;205.0;plat
4864;GOLDOFTHECITY            ;3;F;PUR SANG;3;0;3;7740,00;4179,00;11919,00;2580,00;340.0;plat
4865;ASHTANA                  ;3;F;PUR SANG;3;0;3;7725,00;4171,00;11896,00;2575,00;350.0;plat
4866;JAK COHIBA               ;3;M;PUR SANG;9;0;7;7715,00;4165,00;11880,00;857,22;560.0;plat
4867;BE THE MAM               ;4;H;PUR SANG;9;1;2;7700,00;3118,00;10818,00;855,56;260.0;plat
4868;BELLA FLORIDA            ;3;F;PUR SANG;10;1;4;7700,00;1592,00;9292,00;770,00;245.0;plat
4869;CAT MARY                 ;4;H;PUR SANG;9;0;7;7700,00;910,00;8610,00;855,56;225.0;plat
4870;LOPE DIAMOND             ;3;F;PUR SANG;5;0;4;7700,00;0,00;7700,00;1540,00;305.0;plat
4871;LOOTAH                   ;4;H;PUR SANG;7;0;3;7700,00;3118,00;10818,00;1100,00;335.0;plat
4872;BROOKLYN AFFAIRS         ;3;F;PUR SANG;9;0;5;7700,00;2673,00;10373,00;855,56;260.0;plat
4873;SEA DREAMIN              ;3;M;PUR SANG;2;0;2;7700,00;4158,00;11858,00;3850,00;;plat
4874;FAKE                     ;4;F;PUR SANG;11;0;6;7700,00;3117,00;10817,00;700,00;265.0;plat
4875;COUP FATALE              ;9;H;PUR SANG;7;0;3;7700,00;2425,00;10125,00;1100,00;150.0;plat
4876;IRONWITHERS              ;3;M;PUR SANG;3;0;3;7700,00;4158,00;11858,00;2566,67;335.0;plat
4877;BANKSY                   ;3;H;PUR SANG;7;0;4;7700,00;0,00;7700,00;1100,00;325.0;plat
4878;CALCULATING              ;4;H;PUR SANG;4;0;4;7680,00;0,00;7680,00;1920,00;395.0;plat
4879;WALACHOPE                ;3;F;PUR SANG;10;0;5;7680,00;4147,00;11827,00;768,00;265.0;plat
4880;ALIANTFEN                ;4;H;PUR SANG;9;2;2;7675,00;2916,00;10591,00;852,78;220.0;plat
4881;HALO ON FIRE             ;4;H;PUR SANG;6;0;5;7675,00;3107,00;10782,00;1279,17;570.0;plat
4882;SLEEPER                  ;3;M;PUR SANG;4;1;2;7670,00;4141,00;11811,00;1917,50;320.0;plat
4883;GLAER                    ;4;H;PUR SANG;3;1;2;7650,00;3097,00;10747,00;2550,00;280.0;plat
4884;BAFAITI                  ;4;H;PUR SANG;11;1;2;7650,00;3097,00;10747,00;695,45;230.0;plat
4885;MADEMOISELLE ROSE        ;2;F;PUR SANG;2;0;2;7650,00;4819,00;12469,00;3825,00;;plat
4886;SHI FU MI                ;3;F;PUR SANG;18;0;6;7625,00;3037,00;10662,00;423,61;210.0;plat
4887;MOMOUR                   ;7;H;PUR SANG;13;0;4;7625,00;0,00;7625,00;586,54;225.0;plat
4888;AQUA FORTIS              ;5;F;PUR SANG;9;1;5;7620,00;3084,00;10704,00;846,67;520.0;plat
4889;MY BLACK LADY            ;2;F;PUR SANG;4;1;2;7610,00;4794,00;12404,00;1902,50;375.0;plat
4890;SHANTISARA               ;3;F;PUR SANG;2;0;1;7600,00;0,00;7600,00;3800,00;410.0;plat
4891;CARPIO                   ;5;H;PUR SANG;3;0;2;7600,00;0,00;7600,00;2533,33;375.0;plat
4892;SPANISH HONEY            ;3;F;PUR SANG;6;0;2;7600,00;0,00;7600,00;1266,67;275.0;plat
4893;SAOLINK                  ;3;M;PUR SANG;5;0;3;7600,00;4104,00;11704,00;1520,00;335.0;plat
4894;YOUNG MAN                ;4;H;PUR SANG;4;0;2;7600,00;3078,00;10678,00;1900,00;350.0;plat
4895;LUNE D'OPALE             ;2;F;PUR SANG;7;0;2;7600,00;4788,00;12388,00;1085,71;295.0;plat
4896;BEAU VALLEY              ;8;H;PUR SANG;8;1;3;7575,00;0,00;7575,00;946,88;230.0;plat
4897;MANZANO                  ;3;H;PUR SANG;5;0;4;7565,00;4084,00;11649,00;1513,00;310.0;plat
4898;TANIYALA                 ;3;F;PUR SANG;4;1;3;7560,00;1652,00;9212,00;1890,00;320.0;plat
4899;DANTESQUE                ;5;H;PUR SANG;3;0;2;7560,00;3061,00;10621,00;2520,00;375.0;plat
4900;EVINERUDE                ;4;F;PUR SANG;8;0;6;7550,00;3057,00;10607,00;943,75;240.0;plat
4901;JONGO CHOP               ;2;H;PUR SANG;6;0;4;7550,00;3244,00;10794,00;1258,33;320.0;plat
4902;ALBERT BRIDGE            ;3;H;PUR SANG;8;0;3;7550,00;4077,00;11627,00;943,75;270.0;plat
4903;NEOSTAR                  ;11;H;PUR SANG;6;2;2;7545,00;2376,00;9921,00;1257,50;510.0;plat
4904;IPPLING                  ;4;M;PUR SANG;7;0;6;7525,00;3045,00;10570,00;1075,00;320.0;plat
4905;JONH FOR ALWAYS          ;4;H;PUR SANG;13;0;7;7525,00;3045,00;10570,00;578,85;210.0;plat
4906;WOLF HUNTER              ;5;H;PUR SANG;1;1;0;7500,00;0,00;7500,00;7500,00;340.0;plat
4907;OBANOS                   ;7;H;PUR SANG;1;1;0;7500,00;0,00;7500,00;7500,00;;plat
4908;TOUR                     ;8;H;PUR SANG;2;1;0;7500,00;0,00;7500,00;3750,00;265.0;plat
4909;TAG                      ;4;H;PUR SANG;10;1;0;7500,00;3037,00;10537,00;750,00;255.0;plat
4910;SINGING SHERIFF          ;6;H;PUR SANG;4;1;0;7500,00;0,00;7500,00;1875,00;340.0;plat
4911;SAY GOOD BUY             ;5;H;PUR SANG;2;1;0;7500,00;0,00;7500,00;3750,00;440.0;plat
4912;FINELY TUNED             ;4;H;PUR SANG;1;1;0;7500,00;0,00;7500,00;7500,00;;plat
4913;GORGO                    ;3;H;PUR SANG;4;1;0;7500,00;4050,00;11550,00;1875,00;285.0;plat
4914;MOON A LISA              ;4;F;PUR SANG;1;1;0;7500,00;0,00;7500,00;7500,00;420.0;plat
4915;JANAJKA                  ;6;F;PUR SANG;3;1;0;7500,00;2362,00;9862,00;2500,00;310.0;plat
4916;FEARLESS KING            ;4;M;PUR SANG;1;1;0;7500,00;0,00;7500,00;7500,00;;plat
4917;SNAG IT                  ;4;M;PUR SANG;1;1;0;7500,00;0,00;7500,00;7500,00;;plat
4918;MABAWI                   ;4;H;PUR SANG;7;1;1;7500,00;3037,00;10537,00;1071,43;305.0;plat
4919;WARNING AT SEA           ;3;F;PUR SANG;9;1;3;7500,00;1620,00;9120,00;833,33;245.0;plat
4920;BOTCH                    ;4;H;PUR SANG;7;0;3;7500,00;3037,00;10537,00;1071,43;405.0;plat
4921;THESSALONIQUE            ;3;H;PUR SANG;11;0;6;7500,00;2376,00;9876,00;681,82;275.0;plat
4922;GO FAST                  ;7;H;PUR SANG;5;0;3;7500,00;0,00;7500,00;1500,00;260.0;plat
4923;CARRY OUT                ;9;H;PUR SANG;12;0;5;7500,00;2361,00;9861,00;625,00;180.0;plat
4924;TOUR D'ECHELLE           ;4;F;PUR SANG;6;0;4;7500,00;3036,00;10536,00;1250,00;340.0;plat
4925;LUTHER CEE               ;3;M;PUR SANG;3;0;2;7480,00;4039,00;11519,00;2493,33;365.0;plat
4926;PREMIO                   ;6;H;PUR SANG;8;0;5;7450,00;2251,00;9701,00;931,25;190.0;plat
4927;BIG SIN                  ;4;F;PUR SANG;4;0;3;7450,00;3016,00;10466,00;1862,50;285.0;plat
4928;ATTHETOPOFTHEHILL        ;4;H;PUR SANG;5;1;2;7425,00;0,00;7425,00;1485,00;220.0;plat
4929;MOPUTO                   ;5;H;PUR SANG;7;1;1;7400,00;2997,00;10397,00;1057,14;245.0;plat
4930;MISS TAKE                ;3;F;PUR SANG;4;0;3;7400,00;0,00;7400,00;1850,00;300.0;plat
4931;DESTINADO                ;3;M;PUR SANG;5;0;3;7400,00;0,00;7400,00;1480,00;330.0;plat
4932;ILLOGIC                  ;5;H;PUR SANG;4;0;3;7400,00;2997,00;10397,00;1850,00;415.0;plat
4933;ROYAL GHOST              ;4;M;PUR SANG;9;0;4;7390,00;2992,00;10382,00;821,11;305.0;plat
4934;KEY TO BOBBY             ;3;F;PUR SANG;8;0;5;7380,00;3984,00;11364,00;922,50;300.0;plat
4935;WICHITA HERINIERE        ;7;H;PUR SANG;5;1;2;7375,00;1874,00;9249,00;1475,00;195.0;plat
4936;MYSTICAL BEAUTY          ;3;F;PUR SANG;3;0;3;7375,00;0,00;7375,00;2458,33;335.0;plat
4937;BACCHUS DES AIGLES       ;9;H;PUR SANG;8;1;5;7362,00;1959,00;9321,00;920,25;205.0;plat
4938;WE GO                    ;5;M;PUR SANG;4;0;3;7360,00;2980,00;10340,00;1840,00;430.0;plat
4939;TALISMAN TOUCH           ;4;H;PUR SANG;3;1;2;7350,00;2247,00;9597,00;2450,00;300.0;plat
4940;PROPHETS PRIDE           ;11;M;PUR SANG;8;1;1;7350,00;0,00;7350,00;918,75;180.0;plat
4941;MAGARI                   ;8;H;PUR SANG;2;1;1;7350,00;2315,00;9665,00;3675,00;385.0;plat
4942;TRACY                    ;4;F;PUR SANG;5;0;4;7350,00;0,00;7350,00;1470,00;265.0;plat
4943;HOKKU                    ;3;H;PUR SANG;4;0;3;7350,00;3969,00;11319,00;1837,50;315.0;plat
4944;DAUPHINE DE FRANCE       ;9;F;PUR SANG;11;0;5;7325,00;2306,00;9631,00;665,91;185.0;plat
4945;O'GOSHI                  ;7;H;PUR SANG;4;0;3;7300,00;2299,00;9599,00;1825,00;360.0;plat
4946;HAYEDO                   ;3;M;PUR SANG;2;0;2;7300,00;0,00;7300,00;3650,00;;plat
4947;JA JA DING DONG          ;3;F;PUR SANG;4;0;3;7300,00;0,00;7300,00;1825,00;310.0;plat
4948;DUTCH DOCTOR             ;9;H;PUR SANG;12;1;3;7275,00;2157,00;9432,00;606,25;170.0;plat
4949;VIENTIANE                ;5;F;PUR SANG;9;1;2;7275,00;2946,00;10221,00;808,33;180.0;plat
4950;MISUNDERSTOOD            ;8;H;PUR SANG;8;1;4;7275,00;590,00;7865,00;909,38;150.0;plat
4951;SARIYANA                 ;3;F;PUR SANG;4;1;2;7250,00;513,00;7763,00;1812,50;320.0;plat
4952;SAINTE CECILE            ;6;F;PUR SANG;8;1;2;7250,00;2283,00;9533,00;906,25;150.0;plat
4953;JOSHUA'S SPIRIT          ;3;H;PUR SANG;6;0;4;7250,00;2592,00;9842,00;1208,33;305.0;plat
4954;SERAPHIM                 ;5;F;PUR SANG;13;0;5;7250,00;0,00;7250,00;557,69;165.0;plat
4955;MR VIRTUOSO              ;3;H;PUR SANG;9;0;4;7250,00;0,00;7250,00;805,56;285.0;plat
4956;TREATY                   ;3;F;PUR SANG;8;0;4;7250,00;3915,00;11165,00;906,25;290.0;plat
4957;SHALAWAY                 ;2;F;PUR SANG;4;0;4;7250,00;4567,00;11817,00;1812,50;335.0;plat
4958;SOLEIL D'OCTOBRE         ;7;M;PUR SANG;5;0;4;7240,00;2280,00;9520,00;1448,00;380.0;plat
4959;CLEVELAND                ;4;H;PUR SANG;3;1;1;7200,00;2430,00;9630,00;2400,00;280.0;plat
4960;COLD PLAY                ;4;H;PUR SANG;9;0;3;7200,00;2915,00;10115,00;800,00;270.0;plat
4961;FIRST SHOT               ;2;F;PUR SANG;3;0;2;7200,00;2268,00;9468,00;2400,00;365.0;plat
4962;MA NOSTALGIE             ;4;F;PUR SANG;9;0;5;7200,00;2916,00;10116,00;800,00;240.0;plat
4963;CONCEPT                  ;2;F;PUR SANG;3;0;3;7200,00;4536,00;11736,00;2400,00;350.0;plat
4964;SVOUL                    ;9;H;PUR SANG;5;0;4;7200,00;2266,00;9466,00;1440,00;280.0;plat
4965;SILVER JUBILEE           ;2;M;PUR SANG;5;0;3;7200,00;0,00;7200,00;1440,00;375.0;plat
4966;SPOTTED CAT              ;10;H;PUR SANG;11;0;4;7200,00;2268,00;9468,00;654,55;160.0;plat
4967;MY JOKER                 ;2;M;PUR SANG;3;0;3;7200,00;0,00;7200,00;2400,00;345.0;plat
4968;TAMBOOTIE                ;3;F;PUR SANG;3;0;3;7200,00;3888,00;11088,00;2400,00;;plat
4969;RUSSIAN DOLL             ;2;F;PUR SANG;4;0;2;7200,00;4536,00;11736,00;1800,00;380.0;plat
4970;ANOBAR                   ;4;F;PUR SANG;3;0;2;7200,00;2916,00;10116,00;2400,00;385.0;plat
4971;BOARD MEMBER             ;4;H;PUR SANG;13;1;3;7175,00;981,00;8156,00;551,92;520.0;plat
4972;ESTIBERE                 ;5;H;PUR SANG;13;1;3;7150,00;1173,00;8323,00;550,00;210.0;plat
4973;CAYENNE PEPPER           ;4;F;PUR SANG;1;0;1;7150,00;0,00;7150,00;7150,00;505.0;plat
4974;PIVOINE ROSE             ;5;F;PUR SANG;10;0;3;7150,00;2895,00;10045,00;715,00;245.0;plat
4975;JUNVIEVE                 ;4;F;PUR SANG;11;0;3;7150,00;2895,00;10045,00;650,00;260.0;plat
4976;BAILLEUL                 ;4;H;PUR SANG;5;0;2;7150,00;2895,00;10045,00;1430,00;295.0;plat
4977;SAMAYA                   ;2;F;PUR SANG;6;0;5;7135,00;4493,00;11628,00;1189,17;290.0;plat
4978;GYNT CAIRN               ;6;F;PUR SANG;4;1;2;7125,00;2243,00;9368,00;1781,25;215.0;plat
4979;NI CHAUD NI FROID        ;5;F;PUR SANG;10;1;1;7100,00;2875,00;9975,00;710,00;255.0;plat
4980;CENTAURUS                ;5;H;PUR SANG;6;1;1;7100,00;2875,00;9975,00;1183,33;295.0;plat
4981;FRENCH PEGASUS           ;6;H;PUR SANG;10;0;3;7100,00;2236,00;9336,00;710,00;290.0;plat
4982;OVER THE GUNS            ;5;H;PUR SANG;9;0;4;7100,00;0,00;7100,00;788,89;280.0;plat
4983;ILLUMINATOR              ;7;H;PUR SANG;6;0;3;7100,00;1638,00;8738,00;1183,33;165.0;plat
4984;A FINE ROMANCE           ;5;F;PUR SANG;9;0;4;7100,00;2875,00;9975,00;788,89;245.0;plat
4985;END OF STORY             ;8;F;PUR SANG;11;0;5;7100,00;2235,00;9335,00;645,45;245.0;plat
4986;SEMEUR                   ;6;H;PUR SANG;8;1;2;7080,00;2230,00;9310,00;885,00;170.0;plat
4987;MORGNY                   ;5;M;PUR SANG;9;0;6;7075,00;0,00;7075,00;786,11;235.0;plat
4988;AZABA                    ;3;F;PUR SANG;14;0;7;7075,00;3051,00;10126,00;505,36;275.0;plat
4989;RASPOUTIN                ;7;H;PUR SANG;6;0;6;7060,00;2223,00;9283,00;1176,67;190.0;plat
4990;EXPRESSO JAMES           ;7;H;PUR SANG;6;1;2;7050,00;2220,00;9270,00;1175,00;185.0;plat
4991;COUNTRY CAESAR           ;4;H;PUR SANG;9;0;4;7050,00;2855,00;9905,00;783,33;275.0;plat
4992;KEAT                     ;3;H;PUR SANG;7;0;4;7050,00;3807,00;10857,00;1007,14;310.0;plat
4993;SERENITY                 ;3;F;PUR SANG;5;0;4;7050,00;3807,00;10857,00;1410,00;300.0;plat
4994;PAPAKURA                 ;4;F;PUR SANG;5;0;3;7050,00;0,00;7050,00;1410,00;280.0;plat
4995;VIOLET RUN               ;3;F;PUR SANG;3;0;3;7040,00;0,00;7040,00;2346,67;320.0;plat
4996;STANTO                   ;6;H;PUR SANG;6;1;0;7000,00;2205,00;9205,00;1166,67;295.0;plat
4997;SAINT LAURENT            ;4;H;PUR SANG;1;1;0;7000,00;0,00;7000,00;7000,00;;plat
4998;INTREPID ITALIAN         ;4;H;PUR SANG;3;1;1;7000,00;0,00;7000,00;2333,33;360.0;plat
4999;BAQDAD                   ;6;H;PUR SANG;2;1;0;7000,00;2205,00;9205,00;3500,00;255.0;plat
5000;RONEO                    ;6;H;PUR SANG;3;1;0;7000,00;2205,00;9205,00;2333,33;280.0;plat
5001;WHY                      ;4;H;PUR SANG;1;1;0;7000,00;0,00;7000,00;7000,00;;plat
5002;THE BIG SMOKE            ;5;H;PUR SANG;11;0;4;7000,00;2834,00;9834,00;636,36;345.0;plat
5003;CHERIE AMOUR             ;3;F;PUR SANG;4;0;3;7000,00;3780,00;10780,00;1750,00;385.0;plat
5004;OPTIMUMM                 ;3;F;PUR SANG;2;0;2;7000,00;0,00;7000,00;3500,00;;plat
5005;PIECEDERESISTANCE        ;3;M;PUR SANG;2;0;2;7000,00;0,00;7000,00;3500,00;400.0;plat
5006;MISTER NINO              ;5;H;PUR SANG;4;0;3;7000,00;2833,00;9833,00;1750,00;420.0;plat
5007;MEGALLAN                 ;3;M;PUR SANG;2;0;1;7000,00;0,00;7000,00;3500,00;505.0;plat
5008;ASSIGNED                 ;4;F;PUR SANG;4;0;2;7000,00;0,00;7000,00;1750,00;355.0;plat
5009;TASHKHAN                 ;3;H;PUR SANG;1;0;1;7000,00;0,00;7000,00;7000,00;435.0;plat
5010;CASIVE                   ;5;F;PUR SANG;5;0;3;7000,00;2834,00;9834,00;1400,00;290.0;plat
5011;FIRST SIGHT              ;4;M;PUR SANG;2;0;1;7000,00;2835,00;9835,00;3500,00;365.0;plat
5012;DARIYABAD                ;3;H;PUR SANG;2;1;1;6990,00;1209,00;8199,00;3495,00;;plat
5013;BORN TO BE               ;7;H;PUR SANG;11;0;5;6990,00;0,00;6990,00;635,45;330.0;plat
5014;DEGRISEMENT              ;7;H;PUR SANG;6;1;2;6975,00;2196,00;9171,00;1162,50;295.0;plat
5015;GLORIOUS EMARATY         ;5;H;PUR SANG;8;0;4;6975,00;2247,00;9222,00;871,88;275.0;plat
5016;ZELOTE                   ;4;H;PUR SANG;7;0;5;6960,00;2817,00;9777,00;994,29;360.0;plat
5017;VALENTINO                ;5;H;PUR SANG;6;1;3;6950,00;2166,00;9116,00;1158,33;280.0;plat
5018;QUIZ EVOLUTION           ;10;H;PUR SANG;10;1;2;6950,00;0,00;6950,00;695,00;230.0;plat
5019;BANDRA                   ;3;F;PUR SANG;5;1;2;6950,00;513,00;7463,00;1390,00;310.0;plat
5020;AMARENA                  ;5;F;PUR SANG;2;0;2;6950,00;2814,00;9764,00;3475,00;470.0;plat
5021;BISCOTTINO               ;3;H;PUR SANG;16;0;3;6950,00;3753,00;10703,00;434,38;225.0;plat
5022;SKYCUTTER                ;3;H;PUR SANG;2;0;2;6930,00;3742,00;10672,00;3465,00;400.0;plat
5023;ANSWER ME                ;2;F;PUR SANG;2;0;2;6930,00;4365,00;11295,00;3465,00;;plat
5024;IDEE FIXE                ;3;F;PUR SANG;2;1;1;6920,00;3736,00;10656,00;3460,00;;plat
5025;ASTERELLA                ;3;F;PUR SANG;5;0;4;6920,00;3735,00;10655,00;1384,00;385.0;plat
5026;ZALTAR                   ;3;H;PUR SANG;5;0;3;6920,00;3736,00;10656,00;1384,00;360.0;plat
5027;WHAT DO YOU SAY          ;5;H;PUR SANG;11;1;3;6900,00;869,00;7769,00;627,27;170.0;plat
5028;DARK DREAM               ;10;H;PUR SANG;8;0;3;6900,00;2173,00;9073,00;862,50;250.0;plat
5029;AIMEF                    ;3;F;PUR SANG;12;0;3;6900,00;0,00;6900,00;575,00;255.0;plat
5030;SMUDO                    ;3;H;PUR SANG;2;0;2;6900,00;0,00;6900,00;3450,00;365.0;plat
5031;PONT AU CHANGE           ;5;H;PUR SANG;14;0;5;6900,00;2794,00;9694,00;492,86;240.0;plat
5032;COSY                     ;3;H;PUR SANG;6;0;4;6900,00;2700,00;9600,00;1150,00;285.0;plat
5033;JULIUSJULIUSSON          ;4;H;PUR SANG;3;0;3;6900,00;0,00;6900,00;2300,00;355.0;plat
5034;BYRRH DE LLORDA          ;8;H;PUR SANG;9;1;2;6875,00;2164,00;9039,00;763,89;160.0;plat
5035;MANTA BEACH              ;3;F;PUR SANG;6;0;3;6870,00;3709,00;10579,00;1145,00;305.0;plat
5036;AMERICAN DAISY           ;5;F;PUR SANG;9;1;2;6850,00;2592,00;9442,00;761,11;175.0;plat
5037;JENEREGRETTERIEN         ;3;F;PUR SANG;5;0;3;6850,00;3699,00;10549,00;1370,00;310.0;plat
5038;LAGON MERSOIS            ;9;H;PUR SANG;12;0;6;6825,00;2031,00;8856,00;568,75;160.0;plat
5039;FASTER                   ;2;F;PUR SANG;4;0;3;6810,00;4289,00;11099,00;1702,50;360.0;plat
5040;ATLANTA                  ;2;F;PUR SANG;4;0;3;6810,00;4290,00;11100,00;1702,50;340.0;plat
5041;SCATTER                  ;6;H;PUR SANG;4;1;1;6800,00;2142,00;8942,00;1700,00;255.0;plat
5042;OPTIMISM                 ;3;H;PUR SANG;5;0;3;6800,00;0,00;6800,00;1360,00;330.0;plat
5043;STAR DRACK               ;4;H;PUR SANG;8;0;4;6800,00;2753,00;9553,00;850,00;285.0;plat
5044;HYAPAXA                  ;4;F;PUR SANG;6;0;2;6800,00;2754,00;9554,00;1133,33;235.0;plat
5045;RAJSAPOUR                ;5;H;PUR SANG;7;0;3;6800,00;2753,00;9553,00;971,43;220.0;plat
5046;DIWAN SENORA             ;8;M;PUR SANG;10;0;3;6790,00;2138,00;8928,00;679,00;275.0;plat
5047;PENNY WHISTLE            ;3;F;PUR SANG;10;0;5;6780,00;3659,00;10439,00;678,00;320.0;plat
5048;PARAFECTION              ;5;H;PUR SANG;7;0;5;6775,00;2742,00;9517,00;967,86;275.0;plat
5049;UNDER ATTACK             ;5;H;PUR SANG;16;0;6;6775,00;0,00;6775,00;423,44;170.0;plat
5050;PARTICULIERE DREAM       ;3;H;PUR SANG;3;1;1;6750,00;3645,00;10395,00;2250,00;640.0;plat
5051;IMAGINE CLERMONT         ;3;F;PUR SANG;6;1;3;6750,00;756,00;7506,00;1125,00;575.0;plat
5052;GRACE BERE               ;5;F;PUR SANG;6;0;2;6750,00;2733,00;9483,00;1125,00;295.0;plat
5053;ILIC                     ;2;M;PUR SANG;2;0;2;6750,00;4252,00;11002,00;3375,00;;plat
5054;FANKAIROS RANGER         ;7;H;PUR SANG;12;0;3;6750,00;0,00;6750,00;562,50;180.0;plat
5055;RECOMPENSE               ;2;M;PUR SANG;2;0;2;6750,00;4252,00;11002,00;3375,00;;plat
5056;VAGALAME                 ;2;M;PUR SANG;2;0;2;6750,00;4252,00;11002,00;3375,00;;plat
5057;MARITOT                  ;2;F;PUR SANG;3;0;3;6750,00;4252,00;11002,00;2250,00;360.0;plat
5058;TIGRESS DARGENT          ;2;F;PUR SANG;4;0;4;6750,00;4252,00;11002,00;1687,50;340.0;plat
5059;COUR DU ROI              ;2;M;PUR SANG;2;0;2;6750,00;4252,00;11002,00;3375,00;;plat
5060;RIZZICHOP                ;9;H;PUR SANG;8;0;2;6750,00;2126,00;8876,00;843,75;320.0;plat
5061;BRESOLETTES              ;3;F;PUR SANG;4;0;3;6750,00;3645,00;10395,00;1687,50;330.0;plat
5062;EVANDER                  ;3;H;PUR SANG;3;0;2;6750,00;3645,00;10395,00;2250,00;360.0;plat
5063;BOJAK                    ;2;M;PUR SANG;2;0;2;6750,00;0,00;6750,00;3375,00;;plat
5064;MOND                     ;3;H;PUR SANG;2;0;2;6750,00;0,00;6750,00;3375,00;440.0;plat
5065;INTERNATIONAL            ;2;M;PUR SANG;3;0;2;6750,00;0,00;6750,00;2250,00;375.0;plat
5066;BIENNE                   ;3;F;PUR SANG;15;0;5;6750,00;3645,00;10395,00;450,00;235.0;plat
5067;ILLUMINATING             ;2;M;PUR SANG;5;0;3;6735,00;4242,00;10977,00;1347,00;330.0;plat
5068;FIRE OF BEAUTY           ;5;H;PUR SANG;12;0;6;6725,00;2187,00;8912,00;560,42;170.0;plat
5069;TRUCO                    ;5;H;PUR SANG;10;0;4;6720,00;2721,00;9441,00;672,00;270.0;plat
5070;MY NEST                  ;3;M;PUR SANG;5;1;2;6700,00;3618,00;10318,00;1340,00;280.0;plat
5071;KARAK                    ;5;H;PUR SANG;3;1;2;6700,00;991,00;7691,00;2233,33;360.0;plat
5072;SHANAKILL                ;3;H;PUR SANG;7;1;3;6700,00;3617,00;10317,00;957,14;290.0;plat
5073;THE ROOM                 ;4;F;PUR SANG;6;0;3;6700,00;2713,00;9413,00;1116,67;295.0;plat
5074;TOP GLORY                ;3;H;PUR SANG;11;0;3;6700,00;3618,00;10318,00;609,09;270.0;plat
5075;LAST CHANCE              ;3;F;PUR SANG;9;0;5;6700,00;2214,00;8914,00;744,44;255.0;plat
5076;KENVERNA                 ;4;F;PUR SANG;8;0;3;6700,00;2713,00;9413,00;837,50;320.0;plat
5077;TOUNMY                   ;5;F;PUR SANG;5;0;3;6700,00;2713,00;9413,00;1340,00;180.0;plat
5078;INDIAN SOUL              ;3;F;PUR SANG;9;0;3;6675,00;3604,00;10279,00;741,67;275.0;plat
5079;WAYNE                    ;7;H;PUR SANG;13;0;4;6675,00;2102,00;8777,00;513,46;210.0;plat
5080;DEAR RUBY                ;2;F;PUR SANG;9;0;5;6675,00;4204,00;10879,00;741,67;290.0;plat
5081;CREATIVITY               ;6;F;PUR SANG;3;0;3;6660,00;2097,00;8757,00;2220,00;620.0;plat
5082;BREIZH ANGEL             ;3;F;PUR SANG;6;0;4;6660,00;3595,00;10255,00;1110,00;375.0;plat
5083;AREL NOVA                ;4;M;PUR SANG;6;1;2;6650,00;2692,00;9342,00;1108,33;235.0;plat
5084;JUSTE LIKE               ;4;F;PUR SANG;4;1;1;6650,00;0,00;6650,00;1662,50;270.0;plat
5085;RUWA                     ;3;M;PUR SANG;3;1;1;6650,00;1026,00;7676,00;2216,67;350.0;plat
5086;SNOWY PLAINS             ;3;F;PUR SANG;2;1;0;6650,00;3591,00;10241,00;3325,00;315.0;plat
5087;THE WEST                 ;3;H;PUR SANG;4;1;1;6650,00;3591,00;10241,00;1662,50;350.0;plat
5088;ELEA'S RIVER             ;3;F;PUR SANG;9;0;2;6650,00;0,00;6650,00;738,89;240.0;plat
5089;FRENCH ROSE              ;3;F;PUR SANG;3;0;3;6650,00;3591,00;10241,00;2216,67;370.0;plat
5090;ABATILLES                ;6;F;PUR SANG;7;1;5;6645,00;2092,00;8737,00;949,29;495.0;plat
5091;MIDNIGHT SHINE           ;5;H;PUR SANG;6;1;2;6625,00;2682,00;9307,00;1104,17;330.0;plat
5092;CHELSEE                  ;4;H;PUR SANG;9;0;6;6625,00;1417,00;8042,00;736,11;195.0;plat
5093;BLACK TRACK              ;2;H;PUR SANG;5;0;3;6625,00;4173,00;10798,00;1325,00;325.0;plat
5094;CIGALA                   ;4;F;PUR SANG;7;1;4;6610,00;2674,00;9284,00;944,29;575.0;plat
5095;MON JULES A MOI          ;6;H;PUR SANG;11;1;1;6600,00;2079,00;8679,00;600,00;205.0;plat
5096;MY SWEET BOY             ;4;H;PUR SANG;8;1;2;6600,00;2672,00;9272,00;825,00;235.0;plat
5097;MUGURUZA                 ;3;F;PUR SANG;4;1;1;6600,00;0,00;6600,00;1650,00;290.0;plat
5098;SOYOSE                   ;5;F;PUR SANG;8;0;6;6600,00;2480,00;9080,00;825,00;190.0;plat
5099;PINK LOTUS               ;5;H;PUR SANG;11;0;5;6600,00;2672,00;9272,00;600,00;150.0;plat
