Cheval;Âge;Sexe;Race;Courses;Victoires;Places;"Allocation tot.";"Prime Prop.";"Alloc. + Prime Prop.";"Gain moyen";Valeur
"FEU DU LARGE             ";6;H;"CHEVAL AUTRE QUE PUR SANG";4;0;3;6825,00;0,00;6825,00;1706,25;505
"DON IRON                 ";9;H;"PUR SANG";7;0;4;6800,00;0,00;6800,00;971,43;470
"ANJOU BLEU               ";4;H;"PUR SANG";3;1;1;6780,00;0,00;6780,00;2260,00;555
"DELLA BEAUTIFUL          ";4;F;"PUR SANG";2;1;1;6780,00;0,00;6780,00;3390,00;530
"LAND BARON               ";13;H;"PUR SANG";4;0;3;6765,00;0,00;6765,00;1691,25;490
"FULL TIME                ";5;F;"PUR SANG";1;0;1;6760,00;0,00;6760,00;6760,00;590
"GOUT DU BONHEUR          ";5;H;"CHEVAL AUTRE QUE PUR SANG";1;0;1;6760,00;0,00;6760,00;6760,00;
"HISTOIRE D'EN RIRE       ";4;F;"CHEVAL AUTRE QUE PUR SANG";2;0;1;6760,00;0,00;6760,00;3380,00;560
"PAOLO                    ";5;H;"PUR SANG";2;0;1;6760,00;0,00;6760,00;3380,00;560
"MOT POUR MOT             ";4;H;"PUR SANG";2;0;2;6750,00;0,00;6750,00;3375,00;610
"I'M WALKIN'              ";4;H;"PUR SANG";2;0;1;6750,00;0,00;6750,00;3375,00;645
"CHEZ PEDRO               ";9;H;"PUR SANG";3;0;2;6750,00;0,00;6750,00;2250,00;
"GUMP MADRIK              ";5;F;"PUR SANG";2;0;2;6750,00;0,00;6750,00;3375,00;505
"CORAZONES                ";9;H;"CHEVAL AUTRE QUE PUR SANG";2;0;1;6750,00;0,00;6750,00;3375,00;645
"THE REVENANT             ";5;H;"PUR SANG";1;0;1;6720,00;0,00;6720,00;6720,00;650
"AUTOCRAT                 ";7;H;"PUR SANG";1;0;1;6720,00;0,00;6720,00;6720,00;650
"GAMZA                    ";5;F;"PUR SANG";4;1;1;6710,00;0,00;6710,00;1677,50;500
"HULAPALU                 ";5;F;"PUR SANG";2;1;1;6705,00;0,00;6705,00;3352,50;560
"DJAPLU                   ";9;H;ANGLO-ARABE;4;0;4;6655,00;0,00;6655,00;1663,75;
"QUELLE CITY              ";4;F;"PUR SANG";3;0;3;6630,00;0,00;6630,00;2210,00;560
"GRACE D'OUDAIRIES        ";5;F;"CHEVAL AUTRE QUE PUR SANG";8;0;4;6620,00;0,00;6620,00;827,50;510
"HARDOUINAYE CLERMO       ";4;F;"CHEVAL AUTRE QUE PUR SANG";5;0;3;6620,00;0,00;6620,00;1324,00;480
"GAZEE DE BEDON           ";5;F;"CHEVAL AUTRE QUE PUR SANG";8;0;4;6585,00;0,00;6585,00;823,13;470
"GORDON PYM               ";5;H;"CHEVAL AUTRE QUE PUR SANG";3;0;2;6580,00;0,00;6580,00;2193,33;
"CALAVI                   ";6;H;"PUR SANG";6;0;6;6555,00;0,00;6555,00;1092,50;500
"NEPTUNE DIVINE           ";5;F;"PUR SANG";7;0;4;6540,00;0,00;6540,00;934,29;530
"ISA                      ";4;F;"PUR SANG";4;0;3;6510,00;0,00;6510,00;1627,50;520
"IMAGINE ALLEN            ";3;F;"CHEVAL AUTRE QUE PUR SANG";3;0;3;6510,00;0,00;6510,00;2170,00;560
